team_id,season,week,team_id_opp,matchup_type,result,score_team,score_opp
1073420,2016,15,1073361,Playoff Game,L,75.14,81.7
1073420,2016,16,1089754,Playoff Game 3rd place,L,88.18,96.68
1073420,2016,2,1073370,Division Game,W,104.54,98.56
1073420,2016,3,1089754,Non-Division Game,W,98.9,74.74
1073420,2016,4,1107405,Division Game,W,135.22,61.36
1073420,2016,5,1073363,Division Game,L,61.18,102.2
1073420,2016,6,1115989,Division Game,W,107.9,65.96
1073420,2016,7,1075098,Non-Division Game,W,112.82,68.76
1073420,2016,8,1073358,Division Game,L,78.92,124.4
1073420,2016,9,1073370,Division Game,W,126.16,88.08
1073420,2017,1,1115989,Division Game,W,65.94,24.9
1073420,2017,10,1073395,Non-Division Game,L,75,101.04
1073420,2017,11,1107405,Division Game,L,88.3,117.32
1073420,2017,12,1073370,Division Game,W,111.48,74.46
1073420,2017,13,1073358,Division Game,L,61.12,80.54
1073420,2017,14,1073361,Consolation Game,W,77.04,64.82
1073420,2017,15,1073370,Consolation Game,W,75.28,72.74
1073420,2017,16,1073395,Consolation Game,L,62.72,83.76
1073420,2017,2,1073363,Division Game,W,92.08,60.52
1073420,2017,3,1073671,Non-Division Game,L,67.86,89.92
1073420,2017,4,1107405,Division Game,L,74.78,91.6
1073420,2017,5,1073370,Division Game,L,49.64,74.98
1073420,2017,6,1073358,Division Game,L,63.82,93.9
1073420,2017,7,1087309,Non-Division Game,L,79.92,96.86
1073420,2017,8,1115989,Division Game,L,76.26,84.84
1073420,2017,9,1073363,Division Game,W,79.62,67.72
1073420,2018,1,1073358,Division Game,W,117.78,85.76
1073420,2018,2,1073370,Division Game,L,92.86,111.84
1073420,2018,3,1089754,Non-Division Game,L,69.12,87.88
1073671,2014,1,1089754,Division Game,L,99.54,120.38
1073671,2014,10,1107405,Non-Division Game,L,67.28,73.88
1073671,2014,11,1075098,Division Game,L,58.32,72.56
1073671,2014,12,1087309,Division Game,L,71.46,98.04
1073671,2014,13,1073395,Division Game,L,63.2,78.22
1073671,2014,14,1073370,Consolation Game,W,121.74,59.06
1073671,2014,15,1087309,Consolation Game,L,42.92,87.7
1073671,2014,16,1089754,Consolation Game,L,36.92,86.48
1073671,2014,2,1073361,Division Game,L,91.84,95.58
1073671,2014,3,1073358,Non-Division Game,L,62.84,73.7
1073671,2014,4,1075098,Division Game,L,71.12,82.08
1073671,2014,5,1087309,Division Game,L,102.74,113.46
1073671,2014,6,1073395,Division Game,L,97.2,112.06
1073671,2014,7,1073370,Non-Division Game,W,95.66,66.6
1073671,2014,8,1089754,Division Game,W,131.6,126.76
1073671,2014,9,1073361,Division Game,W,120.72,80.86
1073671,2015,1,1089754,Division Game,L,80.2,90.54
1073671,2015,10,1115989,Non-Division Game,W,95.26,53.48
1073671,2015,11,1075098,Division Game,L,61.86,64.78
1073671,2015,12,1087309,Division Game,W,110.92,61.84
1073671,2015,13,1073395,Division Game,L,50.72,130.12
1073671,2015,15,1087309,Consolation Game,W,104.74,97.4
1073671,2015,16,1115989,Consolation Game,W,93.28,70.7
1073671,2015,2,1073361,Division Game,L,69.1,93.2
1073671,2015,3,1073420,Non-Division Game,L,79.56,134.2
1073671,2015,4,1075098,Division Game,L,83.04,85.82
1073671,2015,5,1087309,Division Game,W,82.7,78.46
1073671,2015,6,1073395,Division Game,W,85.58,74.5
1073671,2015,7,1107405,Non-Division Game,L,119.9,123.6
1073671,2015,8,1089754,Division Game,W,144.6,89.24
1073671,2015,9,1073361,Division Game,W,118.94,78.98
1073671,2016,1,1073395,Division Game,L,84.32,106.26
1073671,2016,10,1073370,Non-Division Game,W,97.52,81.4
1073671,2016,11,1075098,Division Game,W,92.5,71.44
1073671,2016,12,1073361,Division Game,L,85,110.66
1073671,2016,13,1089754,Division Game,L,66.44,82.84
1073671,2016,14,1115989,Consolation Game,W,68.38,63.06
1073671,2016,15,1073370,Consolation Game,L,88.16,112.74
1073671,2016,2,1087309,Division Game,L,81.16,86.06
1073671,2016,3,1073363,Non-Division Game,L,90.94,100.48
1073671,2016,4,1075098,Division Game,L,60.68,75.98
